"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"30.10.2025","5,3812","5,3587","5,3959","5,3547","","0,38%"
"29.10.2025","5,3610","5,3585","5,3677","5,3342","","0,05%"
"28.10.2025","5,3584","5,3747","5,3887","5,3529","","-0,28%"
"27.10.2025","5,3733","5,3904","5,3928","5,3584","","-0,30%"
"24.10.2025","5,3896","5,3825","5,3987","5,3606","","0,13%"
"23.10.2025","5,3828","5,4034","5,4040","5,3779","","-0,33%"
"22.10.2025","5,4004","5,3884","5,4138","5,3759","","0,23%"
"21.10.2025","5,3881","5,3746","5,4056","5,3698","","0,25%"
"20.10.2025","5,3748","5,4044","5,4120","5,3664","","-0,62%"
"17.10.2025","5,4085","5,4460","5,4605","5,4025","","-0,69%"
"16.10.2025","5,4460","5,4549","5,4593","5,4200","","-0,17%"
"15.10.2025","5,4552","5,4829","5,4847","5,4315","","-0,49%"
"14.10.2025","5,4822","5,4660","5,5198","5,4552","","0,31%"
"13.10.2025","5,4655","5,5209","5,5209","5,4412","","-1,02%"
"10.10.2025","5,5220","5,3693","5,5229","5,3599","","2,86%"
"09.10.2025","5,3685","5,3431","5,3801","5,3237","","0,48%"
"08.10.2025","5,3431","5,3510","5,3640","5,3293","","-0,15%"
"07.10.2025","5,3511","5,3135","5,3566","5,3108","","0,71%"
"06.10.2025","5,3132","5,3374","5,3503","5,3080","","-0,46%"
"03.10.2025","5,3375","5,3405","5,3620","5,3243","","-0,02%"
"02.10.2025","5,3386","5,3297","5,3732","5,3071","","0,17%"
"01.10.2025","5,3294","5,3233","5,3367","5,2935","","0,12%"
"30.09.2025","5,3229","5,3216","5,3345","5,3042","","0,02%"
"29.09.2025","5,3221","5,3448","5,3469","5,3044","","-0,39%"
"26.09.2025","5,3431","5,3637","5,3675","5,3354","","-0,39%"
"25.09.2025","5,3639","5,3327","5,3713","5,3088","","0,58%"
"24.09.2025","5,3330","5,2825","5,3340","5,2768","","0,95%"
"23.09.2025","5,2829","5,3355","5,3467","5,2767","","-0,98%"
"22.09.2025","5,3353","5,3241","5,3666","5,3202","","0,22%"
"19.09.2025","5,3238","5,3126","5,3398","5,3043","","0,19%"
"18.09.2025","5,3138","5,3058","5,3195","5,2695","","0,15%"
"17.09.2025","5,3059","5,2968","5,3137","5,2753","","0,16%"
"16.09.2025","5,2972","5,3173","5,3224","5,2913","","-0,37%"
"15.09.2025","5,3168","5,3520","5,3581","5,3087","","-0,71%"
"12.09.2025","5,3549","5,3896","5,4050","5,3439","","-0,66%"
"11.09.2025","5,3903","5,4080","5,4241","5,3736","","-0,34%"
"10.09.2025","5,4087","5,4392","5,4409","5,3987","","-0,57%"
"09.09.2025","5,4398","5,4196","5,4435","5,4135","","0,37%"
"08.09.2025","5,4196","5,4130","5,4487","5,4003","","0,11%"
"05.09.2025","5,4134","5,4473","5,4499","5,3820","","-0,60%"
"04.09.2025","5,4462","5,4519","5,4723","5,4415","","-0,10%"
